imageName,boxNumber,tl,br,lowerBound,upperBound
WIN_20200113_10_59_58_Pro.jpg,8,226 339,257 367,1,1
WIN_20200113_10_59_58_Pro.jpg,9,177 413,197 435,1,1
WIN_20200113_11_00_10_Pro.jpg,0,401 126,426 151,1,1
WIN_20200113_11_00_10_Pro.jpg,1,114 147,128 160,1,1
WIN_20200113_11_00_10_Pro.jpg,2,396 176,421 201,1,1
WIN_20200113_11_00_10_Pro.jpg,3,306 235,360 285,1,1
WIN_20200113_11_00_10_Pro.jpg,4,204 250,232 278,1,1
WIN_20200113_11_00_31_Pro.jpg,0,22 280,51 305,1,1
WIN_20200113_11_00_31_Pro.jpg,1,39 336,62 356,1,1
WIN_20200113_11_00_31_Pro.jpg,2,409 383,429 403,1,1
WIN_20200113_11_00_31_Pro.jpg,3,232 434,257 457,1,1
WIN_20200113_11_00_47_Pro.jpg,0,347 167,379 199,1,1
WIN_20200113_11_00_47_Pro.jpg,1,282 227,298 243,1,1
WIN_20200113_11_00_47_Pro.jpg,2,250 241,275 267,1,1
WIN_20200113_11_00_57_Pro.jpg,0,270 63,297 89,1,1
WIN_20200113_11_00_57_Pro.jpg,1,68 136,118 181,1,1
WIN_20200113_11_00_57_Pro.jpg,2,326 218,345 237,1,1
WIN_20200113_11_00_57_Pro.jpg,3,305 271,330 296,1,1
WIN_20200113_11_00_57_Pro.jpg,4,236 318,258 341,1,1
WIN_20200113_11_00_57_Pro.jpg,5,429 339,453 362,1,1
WIN_20200113_11_00_57_Pro.jpg,6,150 360,240 445,1,1
WIN_20200113_11_00_57_Pro.jpg,7,374 371,401 395,1,1
WIN_20200113_11_00_57_Pro.jpg,8,335 384,381 424,1,1
WIN_20200113_11_00_57_Pro.jpg,9,421 399,440 417,1,1
WIN_20200113_11_01_12_Pro.jpg,0,268 52,292 78,1,1
WIN_20200113_11_01_12_Pro.jpg,1,65 132,115 175,1,1
WIN_20200113_11_01_12_Pro.jpg,2,327 206,346 223,1,1
WIN_20200113_11_01_12_Pro.jpg,3,308 261,333 284,1,1
WIN_20200113_11_01_12_Pro.jpg,4,241 309,264 331,1,1
WIN_20200113_11_01_12_Pro.jpg,5,435 322,459 346,1,1
WIN_20200113_11_01_12_Pro.jpg,6,158 351,246 436,1,1
WIN_20200113_11_01_12_Pro.jpg,7,381 357,408 382,1,1
WIN_20200113_11_01_12_Pro.jpg,8,345 372,391 411,1,1
WIN_20200113_11_01_12_Pro.jpg,9,429 384,449 401,1,1
WIN_20200113_11_01_41_Pro.jpg,0,278 171,314 189,2,2
WIN_20200113_11_01_41_Pro.jpg,1,89 196,99 208,1,1
WIN_20200113_11_01_41_Pro.jpg,2,149 263,193 294,2,2
WIN_20200113_11_02_06_Pro.jpg,0,108 13,457 296,1,2
WIN_20200113_11_02_06_Pro.jpg,1,124 277,155 308,1,1
WIN_20200113_11_02_06_Pro.jpg,2,277 309,298 327,1,1
WIN_20200113_11_02_06_Pro.jpg,3,140 318,169 344,1,1
WIN_20200113_11_04_33_Pro.jpg,0,358 161,375 177,1,1
WIN_20200113_11_04_37_Pro.jpg,0,359 162,376 178,1,1
WIN_20200113_11_05_22_Pro.jpg,0,80 52,470 344,1,2
WIN_20200113_11_05_24_Pro.jpg,0,91 52,470 342,1,2
WIN_20200113_11_06_01_Pro.jpg,0,276 60,311 96,1,1
WIN_20200113_11_06_01_Pro.jpg,1,303 97,363 151,1,2
WIN_20200113_11_06_01_Pro.jpg,2,416 214,462 260,1,1
WIN_20200113_11_06_01_Pro.jpg,3,63 244,106 285,1,1
WIN_20200113_11_06_01_Pro.jpg,4,159 282,256 351,2,2
WIN_20200113_11_06_01_Pro.jpg,5,80 301,118 340,1,1
WIN_20200113_11_06_01_Pro.jpg,6,367 326,394 352,1,1
WIN_20200113_11_06_01_Pro.jpg,7,340 370,374 402,1,1
WIN_20200113_11_06_16_Pro.jpg,0,135 121,176 155,1,1
WIN_20200113_11_06_16_Pro.jpg,1,132 137,285 271,10,18
WIN_20200113_11_06_16_Pro.jpg,2,297 213,359 272,1,1
WIN_20200113_11_06_16_Pro.jpg,3,131 256,143 267,1,1
WIN_20200113_11_06_16_Pro.jpg,4,416 261,452 297,1,1
WIN_20200113_11_06_20_Pro.jpg,0,139 123,174 153,1,1
WIN_20200113_11_06_20_Pro.jpg,1,221 139,288 210,2,8
WIN_20200113_11_06_20_Pro.jpg,2,136 171,281 272,10,16
WIN_20200113_11_06_20_Pro.jpg,3,300 211,364 273,1,1
WIN_20200113_11_06_20_Pro.jpg,4,133 254,146 267,1,1
WIN_20200113_11_06_20_Pro.jpg,5,419 261,455 297,1,1
WIN_20200113_11_06_42_Pro.jpg,0,219 111,252 143,1,1
WIN_20200113_11_06_42_Pro.jpg,1,383 149,415 180,1,1
WIN_20200113_11_06_42_Pro.jpg,2,299 178,335 214,1,1
WIN_20200113_11_06_42_Pro.jpg,3,393 341,415 360,1,1
WIN_20200113_11_06_47_Pro.jpg,0,219 111,252 142,1,1
WIN_20200113_11_06_47_Pro.jpg,1,383 151,415 180,1,1
WIN_20200113_11_06_47_Pro.jpg,2,297 180,334 214,1,1
WIN_20200113_11_06_47_Pro.jpg,3,393 341,415 360,1,1
WIN_20200113_11_07_34_Pro.jpg,0,380 351,427 397,1,1
WIN_20200113_11_07_34_Pro.jpg,1,156 366,178 387,1,1
WIN_20200113_11_12_23_Pro.jpg,0,77 197,99 217,1,1
WIN_20200113_11_12_23_Pro.jpg,1,367 211,395 237,1,1
WIN_20200113_11_12_23_Pro.jpg,2,441 216,450 224,1,1
WIN_20200113_11_12_23_Pro.jpg,3,246 229,275 257,1,1
WIN_20200113_11_12_23_Pro.jpg,4,41 230,60 249,1,1
WIN_20200113_11_12_23_Pro.jpg,5,170 270,180 281,1,1
WIN_20200113_11_12_23_Pro.jpg,6,372 280,382 291,1,1
WIN_20200113_11_12_23_Pro.jpg,7,43 324,58 338,1,1
WIN_20200113_11_12_23_Pro.jpg,8,149 413,161 423,1,1
WIN_20200113_11_12_23_Pro.jpg,9,195 446,215 465,1,1
WIN_20200113_11_12_23_Pro.jpg,10,261 460,271 471,1,1
WIN_20200113_11_12_27_Pro.jpg,0,76 205,97 225,1,1
WIN_20200113_11_12_27_Pro.jpg,1,365 218,395 244,1,1
WIN_20200113_11_12_27_Pro.jpg,2,436 223,449 232,1,1
WIN_20200113_11_12_27_Pro.jpg,3,37 238,59 258,1,1
WIN_20200113_11_12_27_Pro.jpg,4,244 238,274 266,1,1
WIN_20200113_11_12_27_Pro.jpg,5,167 277,179 288,1,1
WIN_20200113_11_12_27_Pro.jpg,6,370 288,380 299,1,1
WIN_20200113_11_12_27_Pro.jpg,7,39 330,57 346,1,1
WIN_20200113_11_12_27_Pro.jpg,8,145 422,160 436,1,1
WIN_20200113_11_12_27_Pro.jpg,9,193 452,214 472,1,1
WIN_20200113_11_12_27_Pro.jpg,10,260 470,270 480,1,1
WIN_20200113_11_12_29_Pro.jpg,0,77 193,99 213,1,1
WIN_20200113_11_12_29_Pro.jpg,1,367 206,396 232,1,1
WIN_20200113_11_12_29_Pro.jpg,2,441 211,451 220,1,1
WIN_20200113_11_12_29_Pro.jpg,3,41 226,60 244,1,1
WIN_20200113_11_12_29_Pro.jpg,4,246 226,275 252,1,1
WIN_20200113_11_12_29_Pro.jpg,5,170 265,180 276,1,1
WIN_20200113_11_12_29_Pro.jpg,6,372 276,382 288,1,1
WIN_20200113_11_12_29_Pro.jpg,7,43 319,58 334,1,1
WIN_20200113_11_12_29_Pro.jpg,8,148 410,161 420,1,1
WIN_20200113_11_12_29_Pro.jpg,9,195 441,217 461,1,1
WIN_20200113_11_12_29_Pro.jpg,10,261 457,269 466,1,1
WIN_20200113_11_12_33_Pro.jpg,0,70 201,92 221,1,1
WIN_20200113_11_12_33_Pro.jpg,1,362 213,390 241,1,1
WIN_20200113_11_12_33_Pro.jpg,2,433 218,444 229,1,1
WIN_20200113_11_12_33_Pro.jpg,3,34 234,54 254,1,1
WIN_20200113_11_12_33_Pro.jpg,4,241 234,269 262,1,1
WIN_20200113_11_12_33_Pro.jpg,5,163 273,174 286,1,1
WIN_20200113_11_12_33_Pro.jpg,6,365 284,377 295,1,1
WIN_20200113_11_12_33_Pro.jpg,7,36 325,52 342,1,1
WIN_20200113_11_12_33_Pro.jpg,8,140 417,155 432,1,1
WIN_20200113_11_12_33_Pro.jpg,9,189 449,209 469,1,1
WIN_20200113_11_12_33_Pro.jpg,10,258 466,262 474,1,1
WIN_20200113_11_12_37_Pro.jpg,0,77 194,99 214,1,1
WIN_20200113_11_12_37_Pro.jpg,1,367 208,396 234,1,1
WIN_20200113_11_12_37_Pro.jpg,2,441 212,451 222,1,1
WIN_20200113_11_12_37_Pro.jpg,3,246 227,275 255,1,1
WIN_20200113_11_12_37_Pro.jpg,4,41 229,60 246,1,1
WIN_20200113_11_12_37_Pro.jpg,5,170 268,181 279,1,1
WIN_20200113_11_12_37_Pro.jpg,6,372 277,382 290,1,1
WIN_20200113_11_12_37_Pro.jpg,7,43 321,58 335,1,1
WIN_20200113_11_12_37_Pro.jpg,8,146 411,162 426,1,1
WIN_20200113_11_12_37_Pro.jpg,9,196 443,214 462,1,1
WIN_20200113_11_12_37_Pro.jpg,10,261 460,270 468,1,1
WIN_20200113_11_13_01_Pro.jpg,0,153 138,160 146,1,1
WIN_20200113_11_13_01_Pro.jpg,1,236 262,251 279,1,1
WIN_20200113_11_13_01_Pro.jpg,2,230 357,249 371,1,1
WIN_20200113_11_13_01_Pro.jpg,3,141 440,156 454,1,1
WIN_20200113_11_13_28_Pro.jpg,0,152 138,160 145,1,1
WIN_20200113_11_13_28_Pro.jpg,1,237 259,254 278,1,1
WIN_20200113_11_13_28_Pro.jpg,2,235 356,253 370,1,1
WIN_20200113_11_13_28_Pro.jpg,3,147 439,163 454,1,1
WIN_20200113_11_13_30_Pro.jpg,0,149 144,158 154,1,1
WIN_20200113_11_13_30_Pro.jpg,1,236 268,252 285,1,1
WIN_20200113_11_13_30_Pro.jpg,2,234 363,251 379,1,1
WIN_20200113_11_13_30_Pro.jpg,3,145 448,161 462,1,1
WIN_20200113_11_14_20_Pro.jpg,0,351 72,373 93,1,1
WIN_20200113_11_14_20_Pro.jpg,1,170 194,208 228,1,1
WIN_20200113_11_14_20_Pro.jpg,2,201 235,225 257,1,1
WIN_20200113_11_14_20_Pro.jpg,3,236 251,248 263,1,1
WIN_20200113_11_14_20_Pro.jpg,4,442 312,460 331,1,1
WIN_20200113_11_14_20_Pro.jpg,5,297 429,320 450,1,1
WIN_20200113_11_14_50_Pro.jpg,0,237 170,259 189,1,1
WIN_20200113_11_14_50_Pro.jpg,1,314 171,321 179,1,1
WIN_20200113_11_14_50_Pro.jpg,2,311 182,324 196,1,1
WIN_20200113_11_14_50_Pro.jpg,3,334 389,346 400,1,1
WIN_20200113_11_14_55_Pro.jpg,0,239 170,261 189,1,1
WIN_20200113_11_14_55_Pro.jpg,1,316 173,323 178,1,1
WIN_20200113_11_14_55_Pro.jpg,2,314 182,325 195,1,1
WIN_20200113_11_14_55_Pro.jpg,3,337 389,347 400,1,1
WIN_20200113_11_15_09_Pro.jpg,0,277 39,293 56,1,1
WIN_20200113_11_15_09_Pro.jpg,1,271 170,289 184,1,1
WIN_20200113_11_15_09_Pro.jpg,2,29 182,50 202,1,1
WIN_20200113_11_15_23_Pro.jpg,0,308 44,325 63,1,1
WIN_20200113_11_15_23_Pro.jpg,1,158 91,169 99,1,1
WIN_20200113_11_15_23_Pro.jpg,2,428 136,458 162,1,1
WIN_20200113_11_15_23_Pro.jpg,3,366 156,379 168,1,1
WIN_20200113_11_15_23_Pro.jpg,4,198 410,216 426,1,1
WIN_20200113_11_15_40_Pro.jpg,0,287 124,305 140,1,1
WIN_20200113_11_15_40_Pro.jpg,1,164 309,176 319,1,1
WIN_20200113_11_15_40_Pro.jpg,2,166 425,186 442,1,1
WIN_20200113_11_15_40_Pro.jpg,3,325 459,339 471,1,1
WIN_20200113_11_15_44_Pro.jpg,0,287 129,304 145,1,1
WIN_20200113_11_15_44_Pro.jpg,1,164 313,174 323,1,1
WIN_20200113_11_15_44_Pro.jpg,2,166 428,185 447,1,1
WIN_20200113_11_15_44_Pro.jpg,3,324 461,339 474,1,1
WIN_20200113_11_16_09_Pro.jpg,0,198 73,214 89,1,1
WIN_20200113_11_16_09_Pro.jpg,1,434 248,444 259,1,1
WIN_20200113_11_16_29_Pro.jpg,0,348 45,468 148,1,1
WIN_20200113_11_16_29_Pro.jpg,1,254 105,281 130,1,1
WIN_20200113_11_16_29_Pro.jpg,2,345 274,371 297,1,1
WIN_20200113_11_16_29_Pro.jpg,3,271 283,301 311,1,1
WIN_20200113_11_16_44_Pro.jpg,0,263 52,277 66,1,1
WIN_20200113_11_16_44_Pro.jpg,1,284 144,315 172,1,1
WIN_20200113_11_16_44_Pro.jpg,2,182 182,209 205,1,1
WIN_20200113_11_16_44_Pro.jpg,3,342 351,364 371,1,1
WIN_20200113_11_16_44_Pro.jpg,4,343 416,367 438,1,1
WIN_20200113_11_16_49_Pro.jpg,0,249 60,261 74,1,1
WIN_20200113_11_16_49_Pro.jpg,1,277 149,309 179,1,1
WIN_20200113_11_16_49_Pro.jpg,2,179 197,204 220,1,1
WIN_20200113_11_16_49_Pro.jpg,3,354 354,376 374,1,1
WIN_20200113_11_16_49_Pro.jpg,4,360 419,382 437,1,1
WIN_20200113_11_17_04_Pro.jpg,0,262 248,283 266,1,1
WIN_20200113_11_17_04_Pro.jpg,1,203 286,226 308,1,1
WIN_20200113_11_17_17_Pro.jpg,0,357 76,372 90,1,1
WIN_20200113_11_17_17_Pro.jpg,1,419 109,435 123,1,1
WIN_20200113_11_17_17_Pro.jpg,2,237 118,266 143,1,1
WIN_20200113_11_17_17_Pro.jpg,3,397 159,418 176,1,1
WIN_20200113_11_17_17_Pro.jpg,4,383 243,398 254,1,1
WIN_20200113_11_17_17_Pro.jpg,5,339 278,352 292,1,1
WIN_20200113_11_17_17_Pro.jpg,6,434 281,444 290,1,1
WIN_20200113_11_17_17_Pro.jpg,7,235 319,252 336,1,1
WIN_20200113_11_17_17_Pro.jpg,8,315 371,330 385,1,1
WIN_20200113_11_17_17_Pro.jpg,9,376 390,396 409,1,1
WIN_20200113_11_17_17_Pro.jpg,10,217 413,233 429,1,1
WIN_20200113_11_17_21_Pro.jpg,0,361 72,376 87,1,1
WIN_20200113_11_17_21_Pro.jpg,1,420 106,437 122,1,1
WIN_20200113_11_17_21_Pro.jpg,2,239 116,267 142,1,1
WIN_20200113_11_17_21_Pro.jpg,3,399 156,419 175,1,1
WIN_20200113_11_17_21_Pro.jpg,4,389 241,402 252,1,1
WIN_20200113_11_17_21_Pro.jpg,5,340 277,354 290,1,1
WIN_20200113_11_17_21_Pro.jpg,6,436 277,448 288,1,1
WIN_20200113_11_17_21_Pro.jpg,7,236 316,256 334,1,1
WIN_20200113_11_17_21_Pro.jpg,8,316 368,331 382,1,1
WIN_20200113_11_17_21_Pro.jpg,9,380 390,396 406,1,1
WIN_20200113_11_17_21_Pro.jpg,10,220 410,235 427,1,1
WIN_20200113_11_17_42_Pro.jpg,0,291 90,323 119,1,1
WIN_20200113_11_17_42_Pro.jpg,1,335 93,369 125,1,1
WIN_20200113_11_17_42_Pro.jpg,2,401 106,413 121,1,1
WIN_20200113_11_17_42_Pro.jpg,3,162 128,174 142,1,1
WIN_20200113_11_17_42_Pro.jpg,4,383 143,401 160,1,2
WIN_20200113_11_17_42_Pro.jpg,5,105 152,124 172,1,1
WIN_20200113_11_17_42_Pro.jpg,6,75 223,90 237,1,1
WIN_20200113_11_17_42_Pro.jpg,7,267 232,283 246,1,1
WIN_20200113_11_17_42_Pro.jpg,8,457 286,488 314,1,2
WIN_20200113_11_17_42_Pro.jpg,9,140 356,164 379,1,1
WIN_20200113_11_17_42_Pro.jpg,10,268 368,297 394,1,1
WIN_20200113_11_17_42_Pro.jpg,11,178 410,198 430,1,1
WIN_20200113_11_17_48_Pro.jpg,0,289 91,321 120,1,1
WIN_20200113_11_17_48_Pro.jpg,1,333 94,368 128,1,1
WIN_20200113_11_17_48_Pro.jpg,2,397 109,412 123,1,1
WIN_20200113_11_17_48_Pro.jpg,3,158 129,172 143,1,1
WIN_20200113_11_17_48_Pro.jpg,4,381 144,398 164,1,2
WIN_20200113_11_17_48_Pro.jpg,5,101 154,123 174,1,1
WIN_20200113_11_17_48_Pro.jpg,6,42 222,53 230,1,1
WIN_20200113_11_17_48_Pro.jpg,7,71 225,89 239,1,1
WIN_20200113_11_17_48_Pro.jpg,8,265 234,282 250,1,1
WIN_20200113_11_17_48_Pro.jpg,9,454 290,483 316,1,2
WIN_20200113_11_17_48_Pro.jpg,10,137 356,163 382,1,1
WIN_20200113_11_17_48_Pro.jpg,11,404 364,412 370,1,1
WIN_20200113_11_17_48_Pro.jpg,12,267 370,294 396,1,1
WIN_20200113_11_17_48_Pro.jpg,13,175 412,197 432,1,1
WIN_20200113_11_18_05_Pro.jpg,0,33 67,164 191,1,1
WIN_20200113_11_18_05_Pro.jpg,1,382 238,405 256,1,1
WIN_20200113_11_18_05_Pro.jpg,2,132 280,146 294,1,1
WIN_20200113_11_18_05_Pro.jpg,3,443 335,466 356,1,1
WIN_20200113_11_18_05_Pro.jpg,4,246 439,265 455,1,1
WIN_20200113_11_18_07_Pro.jpg,0,38 65,165 188,1,1
WIN_20200113_11_18_07_Pro.jpg,1,387 236,410 253,1,1
WIN_20200113_11_18_07_Pro.jpg,2,135 279,149 291,1,1
WIN_20200113_11_18_07_Pro.jpg,3,445 333,469 353,1,1
WIN_20200113_11_18_07_Pro.jpg,4,250 436,268 456,1,1
WIN_20200113_11_18_45_Pro.jpg,0,193 67,226 93,2,6
WIN_20200113_11_18_45_Pro.jpg,1,284 130,331 176,1,1
WIN_20200113_11_18_45_Pro.jpg,2,133 135,158 159,1,2
WIN_20200113_11_18_45_Pro.jpg,3,244 153,272 179,1,1
WIN_20200113_11_18_45_Pro.jpg,4,55 184,67 194,1,1
WIN_20200113_11_18_45_Pro.jpg,5,36 284,59 304,1,1
WIN_20200113_11_18_45_Pro.jpg,6,192 319,200 325,1,1
WIN_20200113_11_18_45_Pro.jpg,7,164 386,181 402,1,1
WIN_20200113_11_18_45_Pro.jpg,8,300 430,330 459,1,1
WIN_20200113_11_18_50_Pro.jpg,0,168 77,201 103,2,6
WIN_20200113_11_18_50_Pro.jpg,1,269 131,316 175,1,1
WIN_20200113_11_18_50_Pro.jpg,2,116 152,141 176,1,2
WIN_20200113_11_18_50_Pro.jpg,3,228 159,256 184,1,1
WIN_20200113_11_18_50_Pro.jpg,4,42 209,58 221,1,1
WIN_20200113_11_18_50_Pro.jpg,5,38 309,59 329,1,1
WIN_20200113_11_18_50_Pro.jpg,6,195 332,203 336,1,1
WIN_20200113_11_18_50_Pro.jpg,7,177 399,193 415,1,1
WIN_20200113_11_18_50_Pro.jpg,8,315 428,346 456,1,1
WIN_20200113_11_18_50_Pro.jpg,9,172 437,179 441,1,1
WIN_20200113_11_20_04_Pro.jpg,0,240 112,267 138,1,1
WIN_20200113_11_20_04_Pro.jpg,1,11 133,435 436,4,14
WIN_20200113_11_20_04_Pro.jpg,2,319 143,325 150,1,1
WIN_20200113_11_20_04_Pro.jpg,3,75 154,99 179,1,1
WIN_20200113_11_20_04_Pro.jpg,4,227 161,246 180,1,1
WIN_20200113_11_20_17_Pro.jpg,0,283 121,292 132,1,1
WIN_20200113_11_20_17_Pro.jpg,1,268 213,280 226,1,1
WIN_20200113_11_20_17_Pro.jpg,2,249 237,264 251,1,1
WIN_20200113_11_20_17_Pro.jpg,3,215 319,231 335,1,1
WIN_20200113_11_20_30_Pro.jpg,0,296 102,332 135,1,1
WIN_20200113_11_20_30_Pro.jpg,1,160 123,248 197,5,5
WIN_20200113_11_20_30_Pro.jpg,2,131 153,159 189,2,2
WIN_20200113_11_20_30_Pro.jpg,3,284 183,319 217,1,1
WIN_20200113_11_20_30_Pro.jpg,4,417 190,439 211,1,1
WIN_20200113_11_20_30_Pro.jpg,5,156 205,183 231,1,1
WIN_20200113_11_20_30_Pro.jpg,6,260 208,267 216,1,1
WIN_20200113_11_20_30_Pro.jpg,7,380 245,402 264,1,1
WIN_20200113_11_20_30_Pro.jpg,8,210 279,348 427,2,2
WIN_20200113_11_20_30_Pro.jpg,9,391 337,412 360,1,1
WIN_20200113_11_20_30_Pro.jpg,10,337 380,363 406,1,1
WIN_20200113_11_20_49_Pro.jpg,0,373 104,399 128,1,1
WIN_20200113_11_20_49_Pro.jpg,1,179 151,226 194,1,1
WIN_20200113_11_20_49_Pro.jpg,2,355 170,396 212,1,1
WIN_20200113_11_20_49_Pro.jpg,3,219 238,259 273,1,1
WIN_20200113_11_20_49_Pro.jpg,4,340 307,351 318,1,1
WIN_20200113_11_20_49_Pro.jpg,5,76 317,87 328,1,1
WIN_20200113_11_20_49_Pro.jpg,6,196 331,219 355,1,1
WIN_20200113_11_20_49_Pro.jpg,7,287 351,331 373,2,2
WIN_20200113_11_20_49_Pro.jpg,8,356 378,380 400,1,1
WIN_20200113_11_20_49_Pro.jpg,9,196 396,214 412,1,1
WIN_20200113_11_20_49_Pro.jpg,10,293 413,316 435,1,1
WIN_20200113_11_21_19_Pro.jpg,0,244 167,263 186,1,1
WIN_20200113_11_21_19_Pro.jpg,1,271 186,288 210,1,1
WIN_20200113_11_21_19_Pro.jpg,2,73 263,363 477,1,2
WIN_20200113_11_21_19_Pro.jpg,3,372 298,395 320,1,1
WIN_20200113_11_21_31_Pro.jpg,0,327 80,371 121,1,1
WIN_20200113_11_21_31_Pro.jpg,1,319 139,327 148,1,1
WIN_20200113_11_21_31_Pro.jpg,2,397 144,435 178,1,1
WIN_20200113_11_21_31_Pro.jpg,3,148 157,359 334,1,2
WIN_20200113_11_21_31_Pro.jpg,4,404 204,422 222,1,1
WIN_20200113_11_21_31_Pro.jpg,5,125 283,142 298,1,1
